system,rho,topic,RR,RBP05,RBP085,AP
acsys7al,1,351,1.0,0.9871852737017552,0.7666009168372585,0.4663220725109225
acsys7al,1,352,1.0,0.7597612871638455,0.538654821916077,0.3780867189138826
acsys7al,1,353,0.25,0.12498951411211964,0.563006205138405,0.35201776522159894
acsys7al,1,354,1.0,0.9653996972400936,0.7448377253851038,0.3081839034104598
acsys7al,1,355,1.0,0.8598642349243164,0.5508591732985532,0.20557939104919365
acsys7al,1,356,0.14285714285714285,0.00781346886697154,0.0679471820838632,0.07754681862258256
acsys7al,1,357,1.0,0.9667633846237957,0.837917347448185,0.3861454058265723
acsys7al,1,358,1.0,0.901348415776742,0.691052411083238,0.40096076001855196
acsys7al,1,359,0.3333333333333333,0.187744140625,0.2256189999624342,0.05916275908051544
acsys7al,1,360,1.0,0.7718351343865493,0.5460089070538826,0.16961877457066268
acsys7al,1,361,1.0,0.5899124145507812,0.44260702443120903,0.4495181647000661
acsys7al,1,362,0.5,0.37085308879989043,0.5815249471554338,0.30587581514692896
acsys7al,1,363,0.034482758620689655,2.8012436814606736e-09,0.003364060557812793,0.03948622242604542
acsys7al,1,364,1.0,0.6872579661434781,0.6614429471270266,0.4882681201931081
acsys7al,1,365,1.0,0.9999998493503881,0.9873806182393701,0.9493808420585556
acsys7al,1,366,1.0,0.7499289593496652,0.8091565784391973,0.5555494895302763
acsys7al,1,367,1.0,0.9979828696260724,0.9090460420785668,0.20410898205154615
acsys7al,1,368,1.0,0.9997558517209262,0.9681990398793132,0.6633197875548784
acsys7al,1,369,1.0,0.7568368986267302,0.410679016923128,0.3689625299225453
acsys7al,1,370,0.5,0.48320022380196337,0.64749803908208,0.2890375625546844
acsys7al,1,371,0.3333333333333333,0.1264648442156613,0.17379352443644744,0.06418093817656607
acsys7al,1,372,1.0,0.8897629122111548,0.6308400784932657,0.26159949639379504
acsys7al,1,373,1.0,0.8242688179609581,0.5193700243484047,0.24887907081234995
acsys7al,1,374,0.5,0.2671092391442514,0.2990922394606798,0.30577188752866274
acsys7al,1,375,1.0,0.9161336496567337,0.6486917731241313,0.28531150916022463
acsys7al,1,376,0.5,0.4570617973805611,0.4612635371937471,0.05029635198734297
acsys7al,1,377,1.0,0.9259110721833974,0.6204309877125633,0.37442905297954415
acsys7al,1,378,0.3333333333333333,0.12890625093223207,0.15807640496522096,0.021080354376218625
acsys7al,1,379,1.0,0.7116184234619283,0.5619137091819074,0.4355424320489436
acsys7al,1,380,0.5,0.3789063100703061,0.28870391168690424,0.2926708474390905
acsys7al,1,381,1.0,0.5000000298023224,0.15303737999370431,0.054645623705460625
acsys7al,1,382,1.0,0.990542605519295,0.7803232818595432,0.5896295805880087
acsys7al,1,383,0.041666666666666664,5.972151484457522e-08,0.0046261868242204905,0.007264571923344087
acsys7al,1,384,0.16666666666666666,0.019943267343593127,0.19423204729837412,0.16583551121419937
acsys7al,1,385,1.0,0.6717348121312631,0.637353890146498,0.30033970904887364
acsys7al,1,386,0.125,0.00391007959842682,0.06014352384164103,0.030894451783244133
acsys7al,1,387,1.0,0.8283996582031252,0.47673981485495587,0.13145816103414654
acsys7al,1,388,0.5,0.4006707786320476,0.47460408910609087,0.2598055436345172
acsys7al,1,389,0.09090909090909091,0.0004882831126451492,0.03111664377588395,0.0011075226157232887
acsys7al,1,390,1.0,0.9975379854520288,0.8740812346797158,0.23388844214961396
acsys7al,1,391,0.0625,1.526158325937388e-05,0.01628692767092582,0.01454646413512463
acsys7al,1,392,0.5,0.4754837969677629,0.6193937836987342,0.4238294818483066
acsys7al,1,393,1.0,0.9965858459927424,0.7680412277941872,0.1818277916839318
acsys7al,1,394,1.0,0.5000009536743164,0.15683991725025667,0.06704338502241587
acsys7al,1,395,1.0,0.5082610114525057,0.31600244724539595,0.18403765318650653
acsys7al,1,396,1.0,0.9999257329618846,0.9218596421364884,0.3773851085337858
acsys7al,1,397,0.1111111111111111,0.0019531268626451492,0.042457819502182456,0.009412858025588626
acsys7al,1,398,1.0,0.9675226226118565,0.8093571221347093,0.2311555151502838
acsys7al,1,399,1.0,0.9765636984084838,0.630995181294544,0.12221672371270023
acsys7al,1,400,1.0,0.9863141812070972,0.805002989854264,0.451385994899103
acsys7as,1,351,1.0,0.9997848579662332,0.9132285303414029,0.42427676541335596
acsys7as,1,352,1.0,0.5297174531169748,0.45926837245462543,0.04060712114885433
acsys7as,1,353,0.5,0.408211501769018,0.38636660061815653,0.2593330441445859
acsys7as,1,354,0.25,0.0694618859561249,0.25303484632441575,0.06321286774869962
acsys7as,1,355,1.0,0.6954384595228769,0.44462199967220967,0.16292141710254457
acsys7as,1,356,1.0,0.5000000020954758,0.15255716259465876,0.06839503042596348
acsys7as,1,357,1.0,0.9999980893325285,0.9864973206984746,0.4258873787579643
acsys7as,1,358,1.0,0.9810805358574763,0.7272211397045989,0.3474088893654358
acsys7as,1,359,0.1,0.0009765625018190484,0.035095949826315226,0.020416096450438383
acsys7as,1,360,0.14285714285714285,0.011719703676137186,0.11189827105892504,0.1071080132986947
acsys7as,1,361,1.0,0.646636962890625,0.4506426528731054,0.46115859449192786
acsys7as,1,362,0.5,0.38843011856448584,0.44429272313046236,0.1756646122456625
acsys7as,1,363,0.006944444444444444,4.484155085839415e-44,1.2106015712146346e-11,0.00990520346689133
acsys7as,1,364,1.0,0.8095736596736123,0.5869406039493794,0.4348215754968949
acsys7as,1,365,1.0,0.998776398664436,0.9120852455421574,0.7804611691614468
acsys7as,1,366,1.0,0.9685928525411206,0.8510933881187069,0.5748062107391813
acsys7as,1,367,0.06666666666666667,3.051757858065071e-05,0.01573318579526282,0.05295286886686678
acsys7as,1,368,1.0,0.9999766312576688,0.9601431383333768,0.5791381706635761
acsys7as,1,369,1.0,0.7512240412179454,0.3591407453068121,0.3376041055974105
acsys7as,1,370,0.09090909090909091,0.0004895937164027047,0.04815055118818953,0.14050217811820304
acsys7as,1,371,0.011235955056179775,1.615587133904387e-27,9.247993021813867e-08,0.004124006924367248
acsys7as,1,372,1.0,0.75048828125,0.30703116088894605,0.052310741507696
acsys7as,1,373,0.5,0.30451298575647456,0.491666781166518,0.277527517174217
acsys7as,1,374,1.0,0.5996886047744505,0.46451397033013925,0.22839152818445257
acsys7as,1,375,0.3333333333333333,0.24140071899734927,0.5359542848626205,0.20965273304341853
acsys7as,1,376,0.1111111111111111,0.002319931983947754,0.09733448587407467,0.017980340579819534
acsys7as,1,377,1.0,0.7706814259309318,0.5005079624809233,0.33901710039480826
acsys7as,1,378,0.02040816326530612,1.7763568394002505e-15,6.141036636758695e-05,0.00891474497727773
acsys7as,1,379,0.0136986301369863,1.0587911840678754e-22,1.2423784524811424e-06,0.00137941605711242
acsys7as,1,380,0.5,0.252075195370708,0.19048254185176094,0.18469536459963765
acsys7as,1,381,1.0,0.5625019073490876,0.25039105852514276,0.06969167802330398
acsys7as,1,382,1.0,0.9332440067100833,0.7431516997718474,0.5670638789763275
acsys7as,1,383,0.3333333333333333,0.16412357241733844,0.2673207139748409,0.024339785838400782
acsys7as,1,384,0.25,0.09643566611459597,0.2714905908815068,0.19172498516325417
acsys7as,1,385,1.0,0.9994634534385534,0.9137357469763387,0.3992554853748704
acsys7as,1,386,0.14285714285714285,0.007814407814322522,0.06589573282565428,0.044981182122580655
acsys7as,1,387,0.125,0.004882812507276513,0.08334082962743693,0.08901862017661555
acsys7as,1,388,0.07142857142857142,6.866460899246542e-05,0.03006763468005837,0.02601952831833427
acsys7as,1,389,1.0,0.8672488932534181,0.5998918031527016,0.05230984498741947
acsys7as,1,390,1.0,0.9996419728420358,0.882111029505406,0.33600435715006105
acsys7as,1,391,0.0,0.0,0.0,0.0
acsys7as,1,392,1.0,0.8107747974794954,0.6839022866381077,0.4814192465482454
acsys7as,1,393,0.3333333333333333,0.17678451539541173,0.3703283574395825,0.0622970840131571
acsys7as,1,394,0.06666666666666667,3.0517578125e-05,0.015415450429633019,0.005246985679085342
acsys7as,1,395,0.1111111111111111,0.0019761553235941665,0.07854619931978739,0.1663979370870613
acsys7as,1,396,1.0,0.9999745041277492,0.9369839285244124,0.3446773439434567
acsys7as,1,397,0.25,0.09375000023487881,0.1720160632330458,0.1383267691790038
acsys7as,1,398,0.05263157894736842,1.909211277961731e-06,0.009631253209382231,0.01465483645163112
acsys7as,1,399,0.021739130434782608,1.4210854715202004e-14,9.998685683283284e-05,0.0007239956567344083
acsys7as,1,400,1.0,0.9842721166501651,0.8519877213557694,0.42075978353433124
acsys7mi,1,351,1.0,0.999251961941809,0.9047572166863612,0.4018413717471507
acsys7mi,1,352,1.0,0.7818704397068359,0.4385253763792931,0.028045830496699193
acsys7mi,1,353,1.0,0.7351359139924676,0.6102795216490364,0.3393888086330232
acsys7mi,1,354,1.0,0.7184815070358518,0.7260050644290068,0.36667961962185247
acsys7mi,1,355,1.0,0.9062957764399471,0.4939416203191935,0.13876566302179333
acsys7mi,1,356,0.3333333333333333,0.12500202655792236,0.12064221050500275,0.03919803417744897
acsys7mi,1,357,1.0,0.6148148942741045,0.5371867466544857,0.04319127879689018
acsys7mi,1,358,0.5,0.49072861671637114,0.6144644023208488,0.3096765185739889
acsys7mi,1,359,1.0,0.5156478956359933,0.2433019506661668,0.08913111143399277
acsys7mi,1,360,1.0,0.970719576958821,0.6250092161053193,0.05799671591204297
acsys7mi,1,361,0.3333333333333333,0.183715820314319,0.379538884984628,0.3411986161986162
acsys7mi,1,362,1.0,0.9990548193491122,0.8369143135691988,0.4099164426523563
acsys7mi,1,363,0.5,0.3964843750000284,0.39150857056946925,0.2052944000141809
acsys7mi,1,364,1.0,0.7298929962592011,0.6470181146215085,0.4557654124990705
acsys7mi,1,365,1.0,0.9999580388066533,0.9218302475043632,0.6084895723249457
acsys7mi,1,366,1.0,0.9354008468640922,0.7986974987385326,0.5110263085077433
acsys7mi,1,367,1.0,0.9374897484233318,0.8581866702801154,0.200988865169252
acsys7mi,1,368,1.0,0.9989847780947249,0.9230178096244737,0.587792754909304
acsys7mi,1,369,1.0,0.7520151148801233,0.34583480469965433,0.2714415581207326
acsys7mi,1,370,1.0,0.9994888114074834,0.9383188369336846,0.1467955048576444
acsys7mi,1,371,0.5,0.283203125,0.24668062260901033,0.08710843662433358
acsys7mi,1,372,1.0,0.981450080878858,0.7124469681899929,0.19947631668847224
acsys7mi,1,373,1.0,0.9898989498910924,0.7808847516869816,0.3957881379523301
acsys7mi,1,374,1.0,0.9914412777837704,0.8415042084454065,0.31987730817398946
acsys7mi,1,375,1.0,0.9755531584053614,0.7973122029309088,0.42758048850542074
acsys7mi,1,376,0.5,0.32423474645021966,0.35528351962470833,0.2999133518113035
acsys7mi,1,377,1.0,0.9537533102593452,0.6368546482945238,0.3493113207636351
acsys7mi,1,378,0.03571428571428571,3.727116837382027e-09,0.0023051875112410753,0.006666415104400773
acsys7mi,1,379,1.0,0.7509765625000142,0.3123431790346298,0.1711554486383266
acsys7mi,1,380,0.5,0.4375002384195028,0.33330069590489386,0.345798042537173
acsys7mi,1,381,1.0,0.5468906166497618,0.3180751944575777,0.110193296794904
acsys7mi,1,382,1.0,0.9998016358586073,0.8872282439979847,0.6829813880233031
acsys7mi,1,383,1.0,0.9996851477542932,0.9253944456700552,0.3224093332159209
acsys7mi,1,384,0.5,0.28131610164746235,0.25081163742660445,0.09012407682865543
acsys7mi,1,385,1.0,0.9921233422220876,0.8956445551619411,0.4381612234497087
acsys7mi,1,386,0.1111111111111111,0.002201139926938836,0.0791500251043782,0.05817998678151489
acsys7mi,1,387,1.0,0.7834168680781302,0.4603464242361567,0.21506825056000967
acsys7mi,1,388,1.0,0.5269711650999653,0.45431359129449145,0.21110001525877167
acsys7mi,1,389,0.05555555555555555,3.816574917447222e-06,0.011818635416304575,0.008218000003075933
acsys7mi,1,390,1.0,0.5420104350196198,0.3970463702712202,0.04342498427639034
acsys7mi,1,391,0.5,0.4946915082970915,0.6437646155713922,0.28046697549539296
acsys7mi,1,392,1.0,0.9895014314882437,0.8335545415715281,0.5277366617481197
acsys7mi,1,393,1.0,0.9521665588263204,0.6898449704975286,0.16595961820548796
acsys7mi,1,394,1.0,0.501220703125,0.2098440285574132,0.08705004389815628
acsys7mi,1,395,0.25,0.116971029465816,0.46409671112852346,0.21944677936414825
acsys7mi,1,396,1.0,0.9979726081229501,0.8816649415265557,0.3108625900447449
acsys7mi,1,397,1.0,0.9454345705453311,0.5569434373854293,0.24071178052292141
acsys7mi,1,398,1.0,0.9843749400277664,0.9266588114002422,0.47272320567724646
acsys7mi,1,399,1.0,0.9134412342978151,0.6851045691178007,0.20360476329400828
